1,23
11,23
21,23
31,21
41,21
51,21
61,21
71,21
81,21
91,21
101,21
111,21
121,21
131,21
141,21
151,21
161,20
171,20
181,20
191,20
201,20
211,20
221,20
231,20
241,20
251,20
261,20
271,20
281,20
291,20
301,20
311,20
321,20
331,20
341,20
351,20
361,20
371,20
381,20
391,20
401,20
411,20
421,20
431,20
441,20
451,20
461,20
471,20
481,20
491,20
501,20
511,20
521,20
531,20
541,20
551,20
561,20
571,20
581,20
591,20
601,20
611,20
621,20
631,20
641,20
651,20
661,20
671,20
681,20
691,20
701,20
711,20
721,20
731,20
741,20
751,20
761,20
771,20
781,19
791,19
801,19
811,19
821,19
831,19
841,19
851,19
861,19
871,19
881,19
891,19
901,19
911,19
921,19
931,19
941,19
951,19
961,19
971,19
981,19
991,19
1001,19
1011,19
1021,19
1031,19
1041,19
1051,19
1061,19
1071,19
1081,19
1091,19
1101,19
1111,19
1121,19
1131,19
1141,19
1151,19
1161,19
1171,19
1181,19
1191,19
1201,19
1211,19
1221,19
1231,19
1241,19
1251,19
1261,19
1271,19
1281,19
1291,19
1301,19
1311,19
1321,19
1331,19
1341,19
1351,19
1361,19
1371,19
1381,19
1391,19
1401,19
1411,19
1421,19
1431,19
1441,19
1451,19
1461,19
1471,19
1481,19
1491,19
1501,19
1511,19
1521,19
1531,19
1541,19
1551,19
1561,19
1571,19
1581,19
1591,19
1601,19
1611,19
1621,19
1631,19
1641,19
1651,19
1661,19
1671,19
1681,19
1691,19
1701,19
1711,19
1721,19
1731,19
1741,19
1751,19
1761,19
1771,19
1781,19
1791,19
1801,19
1811,19
1821,19
1831,19
1841,19
1851,19
1861,19
1871,19
1881,19
1891,19
1901,19
1911,19
1921,19
1931,19
1941,19
1951,19
1961,19
1971,19
1981,19
1991,19
