1,13
11,13
21,13
31,13
41,13
51,13
61,12
71,12
81,12
91,12
101,11
111,11
121,11
131,11
141,11
151,11
161,11
171,11
181,11
191,11
201,11
211,9
221,9
231,9
241,9
251,9
261,9
271,9
281,9
291,9
301,9
311,9
321,9
331,9
341,9
351,9
361,9
371,9
381,9
391,9
401,9
411,9
421,9
431,6
441,6
451,6
461,6
471,6
481,6
491,6
501,6
511,6
521,6
531,6
541,6
551,6
561,6
571,6
581,6
591,6
601,6
611,6
621,6
631,6
641,6
651,6
661,6
671,6
681,6
691,6
701,6
711,6
721,6
731,6
741,6
751,6
761,6
771,6
781,6
791,6
801,6
811,6
821,6
831,6
841,6
851,6
861,6
871,6
881,6
891,6
901,6
911,6
921,6
931,6
941,6
951,6
961,6
971,6
981,6
991,6
1001,6
1011,6
1021,6
1031,6
1041,6
1051,6
1061,6
1071,6
1081,6
1091,6
1101,6
1111,6
1121,6
1131,6
1141,6
1151,6
1161,6
1171,6
1181,6
1191,6
1201,6
1211,6
1221,6
1231,6
1241,6
1251,6
1261,6
1271,6
1281,6
1291,6
1301,6
1311,6
1321,6
1331,6
1341,6
1351,6
1361,6
1371,6
1381,6
1391,6
1401,6
1411,6
1421,6
1431,6
1441,6
1451,6
1461,6
1471,6
1481,6
1491,6
1501,6
1511,6
1521,6
1531,6
1541,6
1551,6
1561,6
1571,6
1581,6
1591,6
1601,6
1611,6
1621,6
1631,6
1641,6
1651,6
1661,6
1671,6
1681,6
1691,6
1701,6
1711,6
1721,6
1731,6
1741,6
1751,6
1761,6
1771,6
1781,6
1791,6
1801,6
1811,6
1821,6
1831,6
1841,6
1851,6
1861,6
1871,6
1881,6
1891,6
1901,6
1911,6
1921,6
1931,6
1941,6
1951,6
1961,6
1971,6
1981,6
1991,6
